word	anger	fear	joy	love	sadness	surprise	thankfulness	disgust	guilt	totalClassify	correctIfAll	correctIfSingle	trust
romance	0	0	0	10	0	0	0	0	0	10	10	9		0.9
#romance	0	0	0	10	0	0	0	0	0	10	10	9		0.9
#arrow	0	0	0	0	0	0	0	0	9	9	8	8		0.8888888888888888
#kiss	0	0	0	7	0	0	0	0	0	7	7	6		0.8571428571428571
thanksgiving	0	0	0	0	0	0	7	0	0	7	7	6		0.8571428571428571
#yeswedid	0	0	0	0	0	0	6	0	0	6	6	5		0.8333333333333334
users	0	0	0	0	0	0	6	0	0	6	6	5		0.8333333333333334
fear	1	23	1	1	0	0	0	0	0	26	24	21		0.8076923076923077
#ebola	0	5	0	0	0	0	0	0	0	5	4	4		0.8
#nude	0	0	0	5	0	0	0	0	0	5	5	4		0.8
#porn	0	0	1	14	0	0	0	0	0	15	14	12		0.8
thankful	0	0	0	0	0	0	5	0	0	5	4	4		0.8
surprise	0	0	0	0	0	9	1	0	0	10	9	8		0.8
nude	0	0	0	5	0	0	0	0	0	5	5	4		0.8
#cum	0	0	0	5	0	0	0	0	0	5	5	4		0.8
blessed	0	0	0	0	0	0	5	0	0	5	3	4		0.8
rts?ga	0	0	0	4	0	0	0	0	0	4	4	3		0.75
?rt	0	0	0	4	0	0	0	0	0	4	4	3		0.75
#smile	0	0	7	1	0	0	0	0	0	8	4	6		0.75
porn	0	0	1	14	0	1	0	0	0	16	15	12		0.75
#rave	4	0	0	0	0	0	0	0	0	4	1	3		0.75
shame	0	0	0	0	0	0	0	4	0	4	1	3		0.75
#happybirthday	0	0	0	0	0	4	0	0	0	4	4	3		0.75
blessing	0	0	0	0	0	0	4	0	0	4	2	3		0.75
?ga	0	0	0	4	0	0	0	0	0	4	4	3		0.75
#sex	0	0	1	12	0	0	0	0	1	14	13	10		0.7142857142857143
#horror	0	3	0	0	0	0	0	0	0	3	2	2		0.6666666666666666
gratitude	0	0	0	0	0	0	3	0	0	3	1	2		0.6666666666666666
grateful	0	0	0	0	0	0	3	0	0	3	1	2		0.6666666666666666
ve	0	0	0	0	3	0	0	0	0	3	2	2		0.6666666666666666
chatting	0	0	3	0	0	0	0	0	0	3	3	2		0.6666666666666666
#teen	0	0	0	3	0	0	0	0	0	3	3	2		0.6666666666666666
#gold	0	0	0	3	0	0	0	0	0	3	2	2		0.6666666666666666
#filth	0	0	3	0	0	0	0	0	0	3	1	2		0.6666666666666666
#hot	0	0	2	13	0	0	0	0	0	15	14	10		0.6666666666666666
asleep	0	0	0	0	0	0	0	0	3	3	1	2		0.6666666666666666
become	0	0	0	0	0	0	3	0	0	3	1	2		0.6666666666666666
